phi,dV_fd,dV_ana
7.74264e+010,4.06705e+030,4.0227e+030
8.0335e+010,4.55711e+030,4.50763e+030
8.33529e+010,5.10655e+030,5.05125e+030
8.64842e+010,5.72171e+030,5.66002e+030
8.97332e+010,6.41092e+030,6.34209e+030
9.31041e+010,7.18306e+030,7.10627e+030
9.66017e+010,8.0487e+030,7.96289e+030
1.00231e+011,9.01788e+030,8.92215e+030
1.03996e+011,1.01037e+031,9.99685e+030
1.07903e+011,1.132e+031,1.12009e+031
1.11956e+011,1.26836e+031,1.25505e+031
1.16162e+011,1.42103e+031,1.40617e+031
1.20526e+011,1.59205e+031,1.57548e+031
1.25054e+011,1.78377e+031,1.76524e+031
1.29752e+011,1.9984e+031,1.97774e+031
1.34626e+011,2.23884e+031,2.21579e+031
1.39684e+011,2.50818e+031,2.48246e+031
1.44931e+011,2.81008e+031,2.78134e+031
1.50376e+011,3.14808e+031,3.11601e+031
1.56025e+011,3.52669e+031,3.49091e+031
1.61886e+011,3.95079e+031,3.91088e+031
1.67967e+011,4.42614e+031,4.38154e+031
1.74277e+011,4.9583e+031,4.90854e+031
1.80824e+011,5.55439e+031,5.49887e+031
1.87617e+011,6.22208e+031,6.16014e+031
1.94666e+011,6.9704e+031,6.90118e+031
2.01979e+011,7.80814e+031,7.73092e+031
2.09566e+011,8.74648e+031,8.66033e+031
2.17439e+011,9.79749e+031,9.70138e+031
2.25607e+011,1.09753e+032,1.08679e+032
2.34083e+011,1.22939e+032,1.21741e+032
2.42876e+011,1.37708e+032,1.36371e+032
2.52e+011,1.54259e+032,1.52765e+032
2.61467e+011,1.72786e+032,1.7112e+032
2.7129e+011,1.93537e+032,1.91678e+032
2.81481e+011,2.16778e+032,2.14704e+032
2.92056e+011,2.42822e+032,2.40505e+032
3.03027e+011,2.71977e+032,2.69391e+032
3.14411e+011,3.04629e+032,3.01744e+032
3.26222e+011,3.41197e+032,3.37979e+032
3.38477e+011,3.82174e+032,3.78577e+032
3.51193e+011,4.28043e+032,4.24031e+032
3.64386e+011,4.79414e+032,4.74937e+032
3.78075e+011,5.36944e+032,5.3195e+032
3.92278e+011,6.01406e+032,5.95825e+032
4.07014e+011,6.73563e+032,6.67337e+032
4.22304e+011,7.54372e+032,7.47425e+032
4.38169e+011,8.44867e+032,8.37118e+032
